Forward and Reverse id	Sample id
101-0S_S1_L001_R1_001.fastq	101_0S_L001-ds.cf2d2495dc36468d9600aaa5faee7bc9
101-0S_S1_L001_R2_001.fastq	101_0S_L001-ds.cf2d2495dc36468d9600aaa5faee7bc9
101-0US_S2_L001_R1_001.fastq	101_0US_L001-ds.d98f353184cb4a5bb0cd4c036e9e4ad1
101-0US_S2_L001_R2_001.fastq	101_0US_L001-ds.d98f353184cb4a5bb0cd4c036e9e4ad1
A_S62_L001_R1_001.fastq	A_L001-ds.f8b7f35baaa742cb8b138112a5b5b7e8
A_S62_L001_R2_001.fastq	A_L001-ds.f8b7f35baaa742cb8b138112a5b5b7e8
B_S69_L001_R1_001.fastq	B_L001-ds.9b4fd0c211f24fc6b1385647e0e5931f
B_S69_L001_R2_001.fastq	B_L001-ds.9b4fd0c211f24fc6b1385647e0e5931f
Baseline-Tongue-Dorsum_S79_L001_R1_001.fastq	Baseline_Tongue_Dorsum_L001-ds.d147273e5d874f5ea59583d7ee950e51
Baseline-Tongue-Dorsum_S79_L001_R2_001.fastq	Baseline_Tongue_Dorsum_L001-ds.d147273e5d874f5ea59583d7ee950e51
GWI-524_S111_L001_R1_001.fastq	GWI_524_L001-ds.4dd1435048864783992f553c954d6ec3
GWI-524_S111_L001_R2_001.fastq	GWI_524_L001-ds.4dd1435048864783992f553c954d6ec3
GWI-525_S112_L001_R1_001.fastq	GWI_525_L001-ds.29974f76a2cd4e3382537edb8ec8d890
GWI-525_S112_L001_R2_001.fastq	GWI_525_L001-ds.29974f76a2cd4e3382537edb8ec8d890
M001-2-wks-RBM_S68_L001_R1_001.fastq	M001_2_wks_RBM_L001-ds.223c4b986b85464387f2bc08eaa5c76b
M001-2-wks-RBM_S68_L001_R2_001.fastq	M001_2_wks_RBM_L001-ds.223c4b986b85464387f2bc08eaa5c76b
M001-2wkS2_S3_L001_R1_001.fastq	M001_2wkS2_L001-ds.a310ba9e87574230ba4f24ec62314985
M001-2wkS2_S3_L001_R2_001.fastq	M001_2wkS2_L001-ds.a310ba9e87574230ba4f24ec62314985
M001-2wkUS2_S4_L001_R1_001.fastq	M001_2wkUS2_L001-ds.b56a661546f74b74a435bbacd1123beb
M001-2wkUS2_S4_L001_R2_001.fastq	M001_2wkUS2_L001-ds.b56a661546f74b74a435bbacd1123beb
M001-4wk-LBM_S59_L001_R1_001.fastq	M001_4wk_LBM_L001-ds.85a477d9f3d241669a4468107b34ad3f
M001-4wk-LBM_S59_L001_R2_001.fastq	M001_4wk_LBM_L001-ds.85a477d9f3d241669a4468107b34ad3f
M001-4wk-RBM_S60_L001_R1_001.fastq	M001_4wk_RBM_L001-ds.f54def640bd544d58024657e43fa897b
M001-4wk-RBM_S60_L001_R2_001.fastq	M001_4wk_RBM_L001-ds.f54def640bd544d58024657e43fa897b
M001-4wkS_S5_L001_R1_001.fastq	M001_4wkS_L001-ds.902f96c24fe44140806af42e1e055fc1
M001-4wkS_S5_L001_R2_001.fastq	M001_4wkS_L001-ds.902f96c24fe44140806af42e1e055fc1
M001-4wkUS_S6_L001_R1_001.fastq	M001_4wkUS_L001-ds.5df6b3fa039d4d21bbc713fc42eca571
M001-4wkUS_S6_L001_R2_001.fastq	M001_4wkUS_L001-ds.5df6b3fa039d4d21bbc713fc42eca571
M001-L-buccal-11-5-18_S70_L001_R1_001.fastq	M001_L_buccal_11_5_18_L001-ds.5a53e8cd6a364d3badfc09fe8a476b76
M001-L-buccal-11-5-18_S70_L001_R2_001.fastq	M001_L_buccal_11_5_18_L001-ds.5a53e8cd6a364d3badfc09fe8a476b76
M001-LBM-2-Weeks_S65_L001_R1_001.fastq	M001_LBM_2_Weeks_L001-ds.a7ed4463da2742078e7c7e52638d012c
M001-LBM-2-Weeks_S65_L001_R2_001.fastq	M001_LBM_2_Weeks_L001-ds.a7ed4463da2742078e7c7e52638d012c
M001-R-buccal-11-5-18_S71_L001_R1_001.fastq	M001_R_buccal_11_5_18_L001-ds.11f0119b592148e2a495a0d4a44e956c
M001-R-buccal-11-5-18_S71_L001_R2_001.fastq	M001_R_buccal_11_5_18_L001-ds.11f0119b592148e2a495a0d4a44e956c
M002-Dorsum-baseline_S67_L001_R1_001.fastq	M002_Dorsum_baseline_L001-ds.57fa8220051a4f98b2ea677613a5b98e
M002-Dorsum-baseline_S67_L001_R2_001.fastq	M002_Dorsum_baseline_L001-ds.57fa8220051a4f98b2ea677613a5b98e
M002-L-Bucc-baseline_S57_L001_R1_001.fastq	M002_L_Bucc_baseline_L001-ds.0c05b02cfe6d4da3930a4611a2310f06
M002-L-Bucc-baseline_S57_L001_R2_001.fastq	M002_L_Bucc_baseline_L001-ds.0c05b02cfe6d4da3930a4611a2310f06
M002-R-Buccal-baseline_S64_L001_R1_001.fastq	M002_R_Buccal_baseline_L001-ds.3978b43445174740844d00bbda96565f
M002-R-Buccal-baseline_S64_L001_R2_001.fastq	M002_R_Buccal_baseline_L001-ds.3978b43445174740844d00bbda96565f
M003-2wk1_S8_L001_R1_001.fastq	M003_2wk1_L001-ds.0553899afb9643a19a6d151d56efb578
M003-2wk1_S8_L001_R2_001.fastq	M003_2wk1_L001-ds.0553899afb9643a19a6d151d56efb578
M003-4-wks-Left-Buccal-Mucosa_S49_L001_R1_001.fastq	M003_4_wks_Left_Buccal_Mucosa_L001-ds.a6b90d1c3edc4e07b538667f000887c3
M003-4-wks-Left-Buccal-Mucosa_S49_L001_R2_001.fastq	M003_4_wks_Left_Buccal_Mucosa_L001-ds.a6b90d1c3edc4e07b538667f000887c3
M003-4wk1US_S10_L001_R1_001.fastq	M003_4wk1US_L001-ds.8328222ab45649f68203a7d73a1f5ada
M003-4wk1US_S10_L001_R2_001.fastq	M003_4wk1US_L001-ds.8328222ab45649f68203a7d73a1f5ada
M003-4wks-R-Buccal-Mucosa_S55_L001_R1_001.fastq	M003_4wks_R_Buccal_Mucosa_L001-ds.84ea96eb155b4b479aa779ee64d433bc
M003-4wks-R-Buccal-Mucosa_S55_L001_R2_001.fastq	M003_4wks_R_Buccal_Mucosa_L001-ds.84ea96eb155b4b479aa779ee64d433bc
M003-B-Left-BM_S61_L001_R1_001.fastq	M003_B_Left_BM_L001-ds.060b8db40387458ead78b06859859a3e
M003-B-Left-BM_S61_L001_R2_001.fastq	M003_B_Left_BM_L001-ds.060b8db40387458ead78b06859859a3e
M003-B-Right-BM_S63_L001_R1_001.fastq	M003_B_Right_BM_L001-ds.4dc6dc23f76e4671a96617330944b9c4
M003-B-Right-BM_S63_L001_R2_001.fastq	M003_B_Right_BM_L001-ds.4dc6dc23f76e4671a96617330944b9c4
M003-B1_S7_L001_R1_001.fastq	M003_B1_L001-ds.8aa1c42ab4bb4d749e0f8e89428ad7f7
M003-B1_S7_L001_R2_001.fastq	M003_B1_L001-ds.8aa1c42ab4bb4d749e0f8e89428ad7f7
M003-BTD_S58_L001_R1_001.fastq	M003_BTD_L001-ds.fbcc4bb6e63a4435b2c72a53a482f7a0
M003-BTD_S58_L001_R2_001.fastq	M003_BTD_L001-ds.fbcc4bb6e63a4435b2c72a53a482f7a0
M003-Week-2-Left-BM_S56_L001_R1_001.fastq	M003_Week_2_Left_BM_L001-ds.30241f417f11461e97183e6fe2e5b34a
M003-Week-2-Left-BM_S56_L001_R2_001.fastq	M003_Week_2_Left_BM_L001-ds.30241f417f11461e97183e6fe2e5b34a
M003-Week-2-Right-BM_S52_L001_R1_001.fastq	M003_Week_2_Right_BM_L001-ds.2af388fdabd940ae96bfe5492d5b588a
M003-Week-2-Right-BM_S52_L001_R2_001.fastq	M003_Week_2_Right_BM_L001-ds.2af388fdabd940ae96bfe5492d5b588a
M003-Week-2-TD_S53_L001_R1_001.fastq	M003_Week_2_TD_L001-ds.3e8f66408972421397e9bc01a70a8745
M003-Week-2-TD_S53_L001_R2_001.fastq	M003_Week_2_TD_L001-ds.3e8f66408972421397e9bc01a70a8745
M004-B3_S11_L001_R1_001.fastq	M004_B3_L001-ds.0635d8e72ebe476c8689bd7c3a080aca
M004-B3_S11_L001_R2_001.fastq	M004_B3_L001-ds.0635d8e72ebe476c8689bd7c3a080aca
M004-Left-BM-baseline_S50_L001_R1_001.fastq	M004_Left_BM_baseline_L001-ds.37f01c346a4e495b9d132913c5d95462
M004-Left-BM-baseline_S50_L001_R2_001.fastq	M004_Left_BM_baseline_L001-ds.37f01c346a4e495b9d132913c5d95462
M004-RBM-ZW_S48_L001_R1_001.fastq	M004_RBM_ZW_L001-ds.632ab0722e8f412eba105da31a478f28
M004-RBM-ZW_S48_L001_R2_001.fastq	M004_RBM_ZW_L001-ds.632ab0722e8f412eba105da31a478f28
M004-Right-BM-Baseline_S54_L001_R1_001.fastq	M004_Right_BM_Baseline_L001-ds.73598ae0873047cbb37815fd5ff6b8af
M004-Right-BM-Baseline_S54_L001_R2_001.fastq	M004_Right_BM_Baseline_L001-ds.73598ae0873047cbb37815fd5ff6b8af
M004-TD-Baseline_S51_L001_R1_001.fastq	M004_TD_Baseline_L001-ds.f05eb23374ce48e0aff44ccc50e069b0
M004-TD-Baseline_S51_L001_R2_001.fastq	M004_TD_Baseline_L001-ds.f05eb23374ce48e0aff44ccc50e069b0
M004-TD-ZW_S46_L001_R1_001.fastq	M004_TD_ZW_L001-ds.bc800d0bd45e41ea98ac0f8841ce5043
M004-TD-ZW_S46_L001_R2_001.fastq	M004_TD_ZW_L001-ds.bc800d0bd45e41ea98ac0f8841ce5043
M004-W4-LBM_S44_L001_R1_001.fastq	M004_W4_LBM_L001-ds.c63665bc3a63486cb9f4548afee5ff49
M004-W4-LBM_S44_L001_R2_001.fastq	M004_W4_LBM_L001-ds.c63665bc3a63486cb9f4548afee5ff49
M004-W4-TD_S43_L001_R1_001.fastq	M004_W4_TD_L001-ds.4f5f1ab3505d4a53875bef5bd4edca1b
M004-W4-TD_S43_L001_R2_001.fastq	M004_W4_TD_L001-ds.4f5f1ab3505d4a53875bef5bd4edca1b
M004-ZW-LBM_S45_L001_R1_001.fastq	M004_ZW_LBM_L001-ds.e734a64877d3495b84e2a42246bdd149
M004-ZW-LBM_S45_L001_R2_001.fastq	M004_ZW_LBM_L001-ds.e734a64877d3495b84e2a42246bdd149
M005-2wk-1-US_S12_L001_R1_001.fastq	M005_2wk_1_US_L001-ds.9e6f7772a33e4065b991de653547ef64
M005-2wk-1-US_S12_L001_R2_001.fastq	M005_2wk_1_US_L001-ds.9e6f7772a33e4065b991de653547ef64
M005-2wk-4S_S13_L001_R1_001.fastq	M005_2wk_4S_L001-ds.5fbe661ac7894f828e558d4fa93a12fa
M005-2wk-4S_S13_L001_R2_001.fastq	M005_2wk_4S_L001-ds.5fbe661ac7894f828e558d4fa93a12fa
M005-4-wk-right-buccal-mucosa_S104_L001_R1_001.fastq	M005_4_wk_right_buccal_mucosa_L001-ds.2f76ae86f957493bb55f7b763a23365a
M005-4-wk-right-buccal-mucosa_S104_L001_R2_001.fastq	M005_4_wk_right_buccal_mucosa_L001-ds.2f76ae86f957493bb55f7b763a23365a
M005-4-wk-Tongue-Dorsum_S107_L001_R1_001.fastq	M005_4_wk_Tongue_Dorsum_L001-ds.662243d2fb2d4cdc97ec2e56042f2aa3
M005-4-wk-Tongue-Dorsum_S107_L001_R2_001.fastq	M005_4_wk_Tongue_Dorsum_L001-ds.662243d2fb2d4cdc97ec2e56042f2aa3
M005-4wk-1-US_S14_L001_R1_001.fastq	M005_4wk_1_US_L001-ds.440cffed6cd545d583261c553b9f2a92
M005-4wk-1-US_S14_L001_R2_001.fastq	M005_4wk_1_US_L001-ds.440cffed6cd545d583261c553b9f2a92
M005-4wk-4S_S114_L001_R1_001.fastq	M005_4wk_4S_L001-ds.0d7399879b4f42a7af5e2b6e4b760470
M005-4wk-4S_S114_L001_R2_001.fastq	M005_4wk_4S_L001-ds.0d7399879b4f42a7af5e2b6e4b760470
M005-4wk-left-buccal-mucosa_S102_L001_R1_001.fastq	M005_4wk_left_buccal_mucosa_L001-ds.06193a88956a41ee8dceca35c076fcb6
M005-4wk-left-buccal-mucosa_S102_L001_R2_001.fastq	M005_4wk_left_buccal_mucosa_L001-ds.06193a88956a41ee8dceca35c076fcb6
M005-baseline-2US_S15_L001_R1_001.fastq	M005_baseline_2US_L001-ds.7c46efad264d486eae13c83ba37614f3
M005-baseline-2US_S15_L001_R2_001.fastq	M005_baseline_2US_L001-ds.7c46efad264d486eae13c83ba37614f3
M005-baseline-3-S_S16_L001_R1_001.fastq	M005_baseline_3_S_L001-ds.0069475f635b4f4cbfbed86695f595a9
M005-baseline-3-S_S16_L001_R2_001.fastq	M005_baseline_3_S_L001-ds.0069475f635b4f4cbfbed86695f595a9
M005-BL-ARM_S37_L001_R1_001.fastq	M005_BL_ARM_L001-ds.1079a7497d7c4eff832c38b6a370c295
M005-BL-ARM_S37_L001_R2_001.fastq	M005_BL_ARM_L001-ds.1079a7497d7c4eff832c38b6a370c295
M005-BL-LM_S47_L001_R1_001.fastq	M005_BL_LM_L001-ds.e7036588377343d89c959f097772e85e
M005-BL-LM_S47_L001_R2_001.fastq	M005_BL_LM_L001-ds.e7036588377343d89c959f097772e85e
M005-BL-TD_S40_L001_R1_001.fastq	M005_BL_TD_L001-ds.0c0a7a2a2d9d40c1a0fd0ca734ff2f88
M005-BL-TD_S40_L001_R2_001.fastq	M005_BL_TD_L001-ds.0c0a7a2a2d9d40c1a0fd0ca734ff2f88
M005-W2-RB_S42_L001_R1_001.fastq	M005_W2_RB_L001-ds.4fe5507590f8477782840219fbe31b70
M005-W2-RB_S42_L001_R2_001.fastq	M005_W2_RB_L001-ds.4fe5507590f8477782840219fbe31b70
M005-W2-TD_S38_L001_R1_001.fastq	M005_W2_TD_L001-ds.19c9b3cf7aae4b82b259b519f1a56380
M005-W2-TD_S38_L001_R2_001.fastq	M005_W2_TD_L001-ds.19c9b3cf7aae4b82b259b519f1a56380
M005-W4-RBM_S41_L001_R1_001.fastq	M005_W4_RBM_L001-ds.befd5a87e47a42d7862717a441a9016b
M005-W4-RBM_S41_L001_R2_001.fastq	M005_W4_RBM_L001-ds.befd5a87e47a42d7862717a441a9016b
M005-ZW-LB_S39_L001_R1_001.fastq	M005_ZW_LB_L001-ds.3bc37f0bb869455b96b63346b2b7b55c
M005-ZW-LB_S39_L001_R2_001.fastq	M005_ZW_LB_L001-ds.3bc37f0bb869455b96b63346b2b7b55c
M006-2wk-2-US_S17_L001_R1_001.fastq	M006_2wk_2_US_L001-ds.835fe4b576a34f9fad1abf4636870815
M006-2wk-2-US_S17_L001_R2_001.fastq	M006_2wk_2_US_L001-ds.835fe4b576a34f9fad1abf4636870815
M006-2wk-3-S_S18_L001_R1_001.fastq	M006_2wk_3_S_L001-ds.6b9e185f7b674f5990c579a7bd39f901
M006-2wk-3-S_S18_L001_R2_001.fastq	M006_2wk_3_S_L001-ds.6b9e185f7b674f5990c579a7bd39f901
M006-4wk-1-US_S19_L001_R1_001.fastq	 M006_4wk_1_US_L001-ds.5391e79316724a70a9f59d4007dbda4b 
M006-4wk-1-US_S19_L001_R2_001.fastq	 M006_4wk_1_US_L001-ds.5391e79316724a70a9f59d4007dbda4b 
M006-4wk-S4_S20_L001_R1_001.fastq	M006_4wk_S4_L001-ds.1e69216bebc44309922901700fd4f9cd
M006-4wk-S4_S20_L001_R2_001.fastq	M006_4wk_S4_L001-ds.1e69216bebc44309922901700fd4f9cd
M006-baseline-6S_S22_L001_R1_001.fastq	M006_baseline_6S_L001-ds.7911e00f68a244b1a91cdc8a0f022db3
M006-baseline-6S_S22_L001_R2_001.fastq	M006_baseline_6S_L001-ds.7911e00f68a244b1a91cdc8a0f022db3
M006-baseline-US-5_S21_L001_R1_001.fastq	M006_baseline_US_5_L001-ds.6cbd6be1df29491f92712660458008d0
M006-baseline-US-5_S21_L001_R2_001.fastq	M006_baseline_US_5_L001-ds.6cbd6be1df29491f92712660458008d0
M006-BL-LM_S106_L001_R1_001.fastq	M006_BL_LM_L001-ds.f3a0b6681da34b678ae3ed9d1645bc90
M006-BL-LM_S106_L001_R2_001.fastq	M006_BL_LM_L001-ds.f3a0b6681da34b678ae3ed9d1645bc90
M006-BL-RBM_S103_L001_R1_001.fastq	M006_BL_RBM_L001-ds.a5e251e56d56476b864b0ded9b855c92
M006-BL-RBM_S103_L001_R2_001.fastq	M006_BL_RBM_L001-ds.a5e251e56d56476b864b0ded9b855c92
M006-BL-TD_S105_L001_R1_001.fastq	M006_BL_TD_L001-ds.458958d82a074ee4913ab9309068b392
M006-BL-TD_S105_L001_R2_001.fastq	M006_BL_TD_L001-ds.458958d82a074ee4913ab9309068b392
M006-W2-LB_S108_L001_R1_001.fastq	M006_W2_LB_L001-ds.7607197741d44beb8ca82834f2a188f0
M006-W2-LB_S108_L001_R2_001.fastq	M006_W2_LB_L001-ds.7607197741d44beb8ca82834f2a188f0
M006-W2-RB_S97_L001_R1_001.fastq	M006_W2_RB_L001-ds.a5474f1c8685413ba0fd229c9da9caff
M006-W2-RB_S97_L001_R2_001.fastq	M006_W2_RB_L001-ds.a5474f1c8685413ba0fd229c9da9caff
M006-W2-TD_S99_L001_R1_001.fastq	M006_W2_TD_L001-ds.37faa074ec204a59b2f58a48ed747503
M006-W2-TD_S99_L001_R2_001.fastq	M006_W2_TD_L001-ds.37faa074ec204a59b2f58a48ed747503
M006-W3-LB_S101_L001_R1_001.fastq	M006_W3_LB_L001-ds.657a11bdb04641af8495cb95666ccdfe
